id,sim900_LB,sim900_RB,agilent_volt
89,0.74,0.765,-0.070922009
90,0.74,0.764,-0.066235405
91,0.74,0.763,-0.063046028
92,0.74,0.762,-0.05957814
93,0.74,0.761,-0.057423596
94,0.74,0.76,-0.057857866
95,0.74,0.759,-0.058546003
96,0.74,0.758,-0.058467546
97,0.74,0.757,-0.052042175
98,0.74,0.756,-0.049636335
99,0.74,0.755,-0.052421487
100,0.74,0.754,-0.056251751
101,0.74,0.753,-0.060660484
102,0.74,0.752,-0.061582704
103,0.74,0.751,-0.061303674
104,0.74,0.75,-0.05984073
105,0.74,0.749,-0.055242598
106,0.74,0.748,-0.051021722
107,0.74,0.747,-0.047788297
108,0.74,0.746,-0.041284463
109,0.74,0.745,-0.039124266
110,0.74,0.744,-0.032362456
111,0.74,0.743,-0.029101676
112,0.74,0.742,-0.025837684
113,0.74,0.741,-0.024194965
114,0.74,0.74,-0.022365801
115,0.74,0.739,-0.021999454
116,0.74,0.738,-0.02275783
117,0.74,0.737,-0.023740917
118,0.74,0.736,-0.028476716
119,0.74,0.735,-0.031758298
120,0.74,0.734,-0.036969074
121,0.74,0.733,-0.037358663
122,0.74,0.732,-0.034836611
123,0.74,0.731,-0.027068599
124,0.74,0.73,-0.024065787
125,0.74,0.729,-0.02156505
126,0.74,0.728,-0.018454247
127,0.74,0.727,-0.017762771
128,0.74,0.726,-0.016777241
129,0.74,0.725,-0.015074941
130,0.74,0.724,-0.013858921
131,0.74,0.723,-0.012328813
132,0.74,0.722,-0.010448413
133,0.74,0.721,-0.009773371
134,0.74,0.72,-0.008968128
135,0.74,0.719,-0.008638891
136,0.74,0.718,-0.008562103
137,0.74,0.717,-0.00941383
138,0.74,0.716,-0.010114294
139,0.74,0.715,-0.012458505
140,0.74,0.714,-0.017964114
141,0.74,0.713,-0.025343572
142,0.74,0.712,-0.029557138
143,0.74,0.711,-0.035847435
144,0.74,0.71,-0.044290351
145,0.74,0.709,-0.047979368
146,0.74,0.708,-0.045996629
147,0.74,0.707,-0.038624888
148,0.74,0.706,-0.033516197
149,0.74,0.705,-0.022941709
150,0.74,0.704,-0.018243016
151,0.74,0.703,-0.012338187
152,0.74,0.702,-0.009691704
153,0.74,0.701,-0.007217674
154,0.74,0.7,-0.005476207
155,0.74,0.699,-0.004100831
156,0.74,0.698,-0.00255018
157,0.74,0.697,-0.002189997
158,0.74,0.696,-0.002185888
159,0.74,0.695,-0.001891832
160,0.74,0.694,-0.001797324
161,0.74,0.693,-0.00196053
162,0.74,0.692,-0.001862555
163,0.74,0.691,-0.002037192
164,0.74,0.69,-0.002582025
165,0.74,0.689,-0.003466754
166,0.74,0.688,-0.004835196
167,0.74,0.6869999999999999,-0.00549367
168,0.74,0.6859999999999999,-0.00648575
169,0.74,0.6849999999999999,-0.008387982
170,0.74,0.6839999999999999,-0.0087325
171,0.74,0.6829999999999999,-0.009408951
172,0.74,0.6819999999999999,-0.009076119
173,0.74,0.6809999999999999,-0.008164166
174,0.74,0.6799999999999999,-0.007647838
175,0.74,0.6789999999999999,-0.006851969
176,0.74,0.6779999999999999,-0.005935393
177,0.74,0.677,-0.00505182
178,0.74,0.6759999999999999,-0.004922256
179,0.74,0.675,-0.003738208
180,0.74,0.6739999999999999,-0.003287369
181,0.74,0.673,-0.003212507
182,0.74,0.6719999999999999,-0.0029042
183,0.74,0.671,-0.002323798
184,0.74,0.6699999999999999,-0.002229161
185,0.74,0.669,-0.001691645
186,0.74,0.6679999999999999,-0.001247226
187,0.74,0.667,-0.000925177
188,0.74,0.6659999999999999,-0.001105592
189,0.74,0.665,-0.000946365
190,0.74,0.6639999999999999,-0.000960746
191,0.74,0.663,-0.000457517
192,0.74,0.6619999999999999,-0.000577835
193,0.74,0.661,-0.00052737
194,0.74,0.6599999999999999,-0.000317681
195,0.74,0.659,-0.000178101
196,0.74,0.6579999999999999,-0.000338226
197,0.74,0.657,-5.2134e-05
198,0.74,0.6559999999999999,-0.00013547
199,0.74,0.655,-0.000293925
200,0.74,0.6539999999999999,1.374e-05
201,0.74,0.653,-0.000201086
202,0.74,0.6519999999999999,2.5425e-05
203,0.74,0.651,-0.000171039
204,0.74,0.6499999999999999,4.841e-05
205,0.74,0.649,0.00020237
206,0.74,0.6479999999999999,-0.00010722
207,0.74,0.647,2.337e-05
208,0.74,0.6459999999999999,0.000128151
209,0.74,0.645,-0.000260026
210,0.74,0.644,5.9068e-05
211,0.74,0.643,-0.000191199
212,0.74,0.642,-0.000185806
213,0.74,0.641,-0.000238068
214,0.74,0.64,-0.000752597
215,0.74,0.639,-0.000614559
216,0.74,0.638,-0.001489403
217,0.74,0.637,-0.001633219
218,0.74,0.636,-0.002315451
219,0.74,0.635,-0.002039246
220,0.74,0.634,-0.00096447
221,0.74,0.633,-0.000599921
222,0.74,0.632,3.8137e-05
223,0.74,0.631,-0.000283653
224,0.74,0.63,8.6932e-05
225,0.74,0.629,-3.8394e-05
226,0.74,0.628,0.000178743
227,0.74,0.627,-4.2631e-05
228,0.74,0.626,-0.000135855
229,0.74,0.625,0.000197234
230,0.74,0.624,-6.4332e-05
231,0.74,0.623,-6.536e-05
232,0.739,0.853,-0.10138549
233,0.739,0.852,-0.1024573
234,0.739,0.851,-0.10283019
235,0.739,0.85,-0.1030106
236,0.739,0.849,-0.10295564
237,0.739,0.848,-0.10209815
238,0.739,0.847,-0.10282621
239,0.739,0.846,-0.10199298
240,0.739,0.845,-0.1017856
241,0.739,0.844,-0.10179729
242,0.739,0.843,-0.1014054
243,0.739,0.842,-0.10180846
244,0.739,0.841,-0.10167299
245,0.739,0.84,-0.10155859
246,0.739,0.839,-0.10208582
247,0.739,0.838,-0.10213988
248,0.739,0.837,-0.10159968
249,0.739,0.836,-0.10147397
250,0.739,0.835,-0.10141785
251,0.739,0.834,-0.10131256
252,0.739,0.833,-0.10097767
253,0.739,0.832,-0.1008883
254,0.739,0.831,-0.10103969
255,0.739,0.83,-0.10048344
256,0.739,0.829,-0.099325086
257,0.739,0.828,-0.10000217
258,0.739,0.827,-0.099710428
259,0.739,0.826,-0.099625037
260,0.739,0.825,-0.098681764
261,0.739,0.824,-0.098634253
262,0.739,0.823,-0.098488391
263,0.739,0.822,-0.098834954
264,0.739,0.821,-0.098278316
265,0.739,0.82,-0.097921985
266,0.739,0.819,-0.097119445
267,0.739,0.818,-0.097693804
268,0.739,0.817,-0.098518172
269,0.739,0.816,-0.098247883
270,0.739,0.815,-0.098782307
271,0.739,0.814,-0.099212216
272,0.739,0.813,-0.098571462
273,0.739,0.8119999999999999,-0.098599069
274,0.739,0.8109999999999999,-0.09826265
275,0.739,0.8099999999999999,-0.098396323
276,0.739,0.8089999999999999,-0.09662469
277,0.739,0.8079999999999999,-0.096584498
278,0.739,0.8069999999999999,-0.095138902
279,0.739,0.8059999999999999,-0.094303102
280,0.739,0.8049999999999999,-0.092938265
281,0.739,0.8039999999999999,-0.092185291
282,0.739,0.8029999999999999,-0.091752814
283,0.739,0.8019999999999999,-0.091917175
284,0.739,0.8009999999999999,-0.091821255
285,0.739,0.7999999999999999,-0.092677983
286,0.739,0.7989999999999999,-0.092699555
287,0.739,0.7979999999999999,-0.092713295
288,0.739,0.7969999999999999,-0.092956114
289,0.739,0.7959999999999999,-0.092595545
290,0.739,0.7949999999999999,-0.091864528
291,0.739,0.7939999999999999,-0.090861544
292,0.739,0.7929999999999999,-0.090932425
293,0.739,0.792,-0.08990286
294,0.739,0.7909999999999999,-0.089161049
295,0.739,0.79,-0.089077456
296,0.739,0.7889999999999999,-0.087859138
297,0.739,0.788,-0.087970724
298,0.739,0.7869999999999999,-0.087398283
299,0.739,0.786,-0.087720843
300,0.739,0.7849999999999999,-0.087202589
301,0.739,0.784,-0.087391477
302,0.739,0.7829999999999999,-0.086961833
303,0.739,0.782,-0.086132063
304,0.739,0.7809999999999999,-0.085926354
305,0.739,0.78,-0.084562934
306,0.739,0.779,-0.083052483
307,0.739,0.778,-0.082167761
308,0.739,0.777,-0.080535584
309,0.739,0.776,-0.080069721
310,0.739,0.775,-0.079696568
311,0.739,0.774,-0.080077297
312,0.739,0.773,-0.079704273
313,0.739,0.772,-0.080614041
314,0.739,0.771,-0.08126018
315,0.739,0.77,-0.081625885
316,0.739,0.769,-0.081128049
317,0.739,0.768,-0.079851556
318,0.739,0.767,-0.078930493
319,0.739,0.766,-0.075698489
320,0.739,0.765,-0.07137952
321,0.739,0.764,-0.066852661
322,0.739,0.763,-0.064136847
323,0.739,0.762,-0.059734408
324,0.739,0.761,-0.058067042
325,0.739,0.76,-0.056887622
326,0.739,0.759,-0.056361797
327,0.739,0.758,-0.058047011
328,0.739,0.757,-0.05776323
329,0.739,0.756,-0.048329019
330,0.739,0.755,-0.047649489
331,0.739,0.754,-0.051516088
332,0.739,0.753,-0.055237462
333,0.739,0.752,-0.058183251
334,0.739,0.751,-0.060088171
335,0.739,0.75,-0.059538205
336,0.739,0.749,-0.056014967
337,0.739,0.748,-0.053610796
338,0.739,0.747,-0.047932242
339,0.739,0.746,-0.046241374
340,0.739,0.745,-0.039219287
341,0.739,0.744,-0.037435965
342,0.739,0.743,-0.031948085
343,0.739,0.742,-0.029445937
344,0.739,0.741,-0.025236993
345,0.739,0.74,-0.024176346
346,0.739,0.739,-0.022002921
347,0.739,0.738,-0.021943467
348,0.739,0.737,-0.022288499
349,0.739,0.736,-0.025005474
350,0.739,0.735,-0.026579366
351,0.739,0.734,-0.03321855
352,0.739,0.733,-0.035697198
353,0.739,0.732,-0.03479963
354,0.739,0.731,-0.028547597
355,0.739,0.73,-0.023585287
356,0.739,0.729,-0.021671628
357,0.739,0.728,-0.019372746
358,0.739,0.727,-0.018141574
359,0.739,0.726,-0.016917463
360,0.739,0.725,-0.016063809
361,0.739,0.724,-0.015233396
362,0.739,0.723,-0.012654585
363,0.739,0.722,-0.012308525
364,0.739,0.721,-0.011085443
365,0.739,0.72,-0.00979122
366,0.739,0.719,-0.009037083
367,0.739,0.718,-0.008507786
368,0.739,0.717,-0.008756641
369,0.739,0.716,-0.009405997
370,0.739,0.715,-0.01170334
371,0.739,0.714,-0.013572701
372,0.739,0.713,-0.020449061
373,0.739,0.712,-0.023906177
374,0.739,0.711,-0.032064551
375,0.739,0.71,-0.04166455
376,0.739,0.709,-0.044895023
377,0.739,0.708,-0.045606141
378,0.739,0.707,-0.041689204
379,0.739,0.706,-0.032690666
380,0.739,0.705,-0.02824507
381,0.739,0.704,-0.02251347
382,0.739,0.703,-0.015621572
383,0.739,0.702,-0.012396741
384,0.739,0.701,-0.00874059
385,0.739,0.7,-0.005765766
386,0.739,0.699,-0.004210749
387,0.739,0.698,-0.003537122
388,0.739,0.697,-0.002529378
389,0.739,0.696,-0.002103964
390,0.739,0.695,-0.001829811
391,0.739,0.694,-0.001739027
392,0.739,0.693,-0.001627698
393,0.739,0.692,-0.001670072
394,0.739,0.691,-0.001902618
395,0.739,0.69,-0.002074687
396,0.739,0.689,-0.002359752
397,0.739,0.688,-0.002937329
398,0.739,0.6869999999999999,-0.003594777
399,0.739,0.6859999999999999,-0.005719411
400,0.739,0.6849999999999999,-0.006426811
401,0.739,0.6839999999999999,-0.007992099
402,0.739,0.6829999999999999,-0.009467504
403,0.739,0.6819999999999999,-0.009561242
404,0.739,0.6809999999999999,-0.009216083
405,0.739,0.6799999999999999,-0.009565479
406,0.739,0.6789999999999999,-0.008048855
407,0.739,0.6779999999999999,-0.007477827
408,0.739,0.677,-0.007140886
409,0.739,0.6759999999999999,-0.005016251
410,0.739,0.675,-0.005020231
411,0.739,0.6739999999999999,-0.003916695
412,0.739,0.673,-0.003875861
413,0.739,0.6719999999999999,-0.003030682
414,0.739,0.671,-0.002442318
415,0.739,0.6699999999999999,-0.00216881
416,0.739,0.669,-0.0019509
417,0.739,0.6679999999999999,-0.001536657
418,0.739,0.667,-0.001036894
419,0.739,0.6659999999999999,-0.001152974
420,0.739,0.665,-0.000669518
421,0.739,0.6639999999999999,-0.000875997
422,0.739,0.663,-0.000887682
423,0.739,0.6619999999999999,-0.000543164
424,0.739,0.661,-0.00057501
425,0.739,0.6599999999999999,-0.000668105
426,0.739,0.659,-0.000247827
427,0.739,0.6579999999999999,-0.000180156
428,0.739,0.657,-9.759e-05
429,0.739,0.6559999999999999,-0.000121987
430,0.739,0.655,-9.836e-05
431,0.739,0.6539999999999999,-0.000257201
432,0.739,0.653,-0.000252578
433,0.739,0.6519999999999999,5.9453e-05
434,0.739,0.651,-7.4476e-05
435,0.739,0.6499999999999999,-4.0192e-05
436,0.739,0.649,0.000184008
437,0.739,0.6479999999999999,-0.000139836
438,0.739,0.647,0.000147926
439,0.739,0.6459999999999999,-0.000231005
440,0.739,0.645,-0.000232803
441,0.739,0.644,-0.000166288
442,0.739,0.643,0.000145229
443,0.739,0.642,-6.4846e-05
444,0.739,0.641,-0.000155373
445,0.739,0.64,-0.000206865
446,0.739,0.639,-0.000793431
447,0.739,0.638,-0.001123441
448,0.739,0.637,-0.001766763
449,0.739,0.636,-0.002244313
450,0.739,0.635,-0.002069165
451,0.739,0.634,-0.001049606
452,0.739,0.633,-0.00052737
453,0.739,0.632,-9.5664e-05
454,0.739,0.631,-8.4749e-05
455,0.739,0.63,-0.000176047
456,0.739,0.629,0.000133801
457,0.739,0.628,-0.000180413
458,0.739,0.627,-7.6531e-05
459,0.739,0.626,-0.000244745
460,0.739,0.625,0.000221375
461,0.739,0.624,0.000250395
462,0.739,0.623,1.28e-07
463,0.738,0.853,-0.10128521
464,0.738,0.852,-0.10273774
465,0.738,0.851,-0.10306762
466,0.738,0.85,-0.10327782
467,0.738,0.849,-0.10329246
468,0.738,0.848,-0.10292354
469,0.738,0.847,-0.10325586
470,0.738,0.846,-0.10275494
471,0.738,0.845,-0.10235766
472,0.738,0.844,-0.10240132
473,0.738,0.843,-0.10209866
474,0.738,0.842,-0.10188602
475,0.738,0.841,-0.10207182
476,0.738,0.84,-0.10221192
477,0.738,0.839,-0.10214335
478,0.738,0.838,-0.10202418
479,0.738,0.837,-0.10187138
480,0.738,0.836,-0.10190464
481,0.738,0.835,-0.10139089
482,0.738,0.834,-0.10116938
483,0.738,0.833,-0.10077132
484,0.738,0.832,-0.10153188
485,0.738,0.831,-0.1012445
486,0.738,0.83,-0.10073151
487,0.738,0.829,-0.10037699
488,0.738,0.828,-0.10022303
489,0.738,0.827,-0.099892767
490,0.738,0.826,-0.0997207
491,0.738,0.825,-0.09940303
492,0.738,0.824,-0.099540169
493,0.738,0.823,-0.098533325
494,0.738,0.822,-0.098592392
495,0.738,0.821,-0.098885932
496,0.738,0.82,-0.098829047
497,0.738,0.819,-0.098276647
498,0.738,0.818,-0.098121915
499,0.738,0.817,-0.098470542
500,0.738,0.816,-0.098642599
501,0.738,0.815,-0.098958226
502,0.738,0.814,-0.099201173
503,0.738,0.813,-0.098696916
504,0.738,0.8119999999999999,-0.099059924
505,0.738,0.8109999999999999,-0.098275748
506,0.738,0.8099999999999999,-0.098288075
507,0.738,0.8089999999999999,-0.097480519
508,0.738,0.8079999999999999,-0.096788795
509,0.738,0.8069999999999999,-0.095952998
510,0.738,0.8059999999999999,-0.095380172
511,0.738,0.8049999999999999,-0.093540746
512,0.738,0.8039999999999999,-0.092765172
513,0.738,0.8029999999999999,-0.09170633
514,0.738,0.8019999999999999,-0.091906774
515,0.738,0.8009999999999999,-0.091733296
516,0.738,0.7999999999999999,-0.092762347
517,0.738,0.7989999999999999,-0.09317338
518,0.738,0.7979999999999999,-0.093549863
519,0.738,0.7969999999999999,-0.093253506
520,0.738,0.7959999999999999,-0.093224229
521,0.738,0.7949999999999999,-0.092353882
522,0.738,0.7939999999999999,-0.091787098
523,0.738,0.7929999999999999,-0.091261269
524,0.738,0.792,-0.090083658
525,0.738,0.7909999999999999,-0.089433659
526,0.738,0.79,-0.089179797
527,0.738,0.7889999999999999,-0.088328463
528,0.738,0.788,-0.087316872
529,0.738,0.7869999999999999,-0.08671208
530,0.738,0.786,-0.086791179
531,0.738,0.7849999999999999,-0.08667664
532,0.738,0.784,-0.087029111
533,0.738,0.7829999999999999,-0.086480818
534,0.738,0.782,-0.086588038
535,0.738,0.7809999999999999,-0.085916217
536,0.738,0.78,-0.085348912
537,0.738,0.779,-0.084624056
538,0.738,0.778,-0.083216202
539,0.738,0.777,-0.081762506
540,0.738,0.776,-0.080637668
541,0.738,0.775,-0.079906515
542,0.738,0.774,-0.080377
543,0.738,0.773,-0.080772103
544,0.738,0.772,-0.080918231
545,0.738,0.771,-0.081370354
546,0.738,0.77,-0.081699848
547,0.738,0.769,-0.081679945
548,0.738,0.768,-0.081425569
549,0.738,0.767,-0.079999995
550,0.738,0.766,-0.077875888
551,0.738,0.765,-0.075430638
552,0.738,0.764,-0.069872537
553,0.738,0.763,-0.066823127
554,0.738,0.762,-0.062550507
555,0.738,0.761,-0.05989877
556,0.738,0.76,-0.056954137
557,0.738,0.759,-0.055348406
558,0.738,0.758,-0.055369465
559,0.738,0.757,-0.056976865
560,0.738,0.756,-0.054486919
561,0.738,0.755,-0.047444422
562,0.738,0.754,-0.048824287
563,0.738,0.753,-0.051521353
564,0.738,0.752,-0.056710548
565,0.738,0.751,-0.058187489
566,0.738,0.75,-0.060124125
567,0.738,0.749,-0.059022648
568,0.738,0.748,-0.056230564
569,0.738,0.747,-0.054042759
570,0.738,0.746,-0.045923822
571,0.738,0.745,-0.044013761
572,0.738,0.744,-0.040307154
573,0.738,0.743,-0.034073615
574,0.738,0.742,-0.030345045
575,0.738,0.741,-0.027851373
576,0.738,0.74,-0.024790392
577,0.738,0.739,-0.023493732
578,0.738,0.738,-0.021740198
579,0.738,0.737,-0.021372438
580,0.738,0.736,-0.022409716
581,0.738,0.735,-0.024340836
582,0.738,0.734,-0.030191985
583,0.738,0.733,-0.032902924
584,0.738,0.732,-0.036329349
585,0.738,0.731,-0.034450363
586,0.738,0.73,-0.030968079
587,0.738,0.729,-0.026338217
588,0.738,0.728,-0.022698762
589,0.738,0.727,-0.018921007
590,0.738,0.726,-0.017849318
591,0.738,0.725,-0.017121502
592,0.738,0.724,-0.015879416
593,0.738,0.723,-0.015150958
594,0.738,0.722,-0.013462911
595,0.738,0.721,-0.011958743
596,0.738,0.72,-0.010839029
597,0.738,0.719,-0.009724191
598,0.738,0.718,-0.009077275
599,0.738,0.717,-0.008743158
600,0.738,0.716,-0.009211589
601,0.738,0.715,-0.009183211
602,0.738,0.714,-0.010488604
603,0.738,0.713,-0.01237992
604,0.738,0.712,-0.015797235
605,0.738,0.711,-0.025817781
606,0.738,0.71,-0.032535678
607,0.738,0.709,-0.042070445
608,0.738,0.708,-0.044699715
609,0.738,0.707,-0.044738109
610,0.738,0.706,-0.041609463
611,0.738,0.705,-0.035622465
612,0.738,0.704,-0.02548726
613,0.738,0.703,-0.021386563
614,0.738,0.702,-0.017130748
615,0.738,0.701,-0.010504655
616,0.738,0.7,-0.008344195
617,0.738,0.699,-0.006698008
618,0.738,0.698,-0.003847483
619,0.738,0.697,-0.003584119
620,0.738,0.696,-0.002304793
621,0.738,0.695,-0.001886824
622,0.738,0.694,-0.001987239
623,0.738,0.693,-0.001708851
624,0.738,0.692,-0.001593926
625,0.738,0.691,-0.001492613
626,0.738,0.69,-0.001680088
627,0.738,0.689,-0.002534001
628,0.738,0.688,-0.003136747
629,0.738,0.6869999999999999,-0.003675802
630,0.738,0.6859999999999999,-0.005662655
631,0.738,0.6849999999999999,-0.006111054
632,0.738,0.6839999999999999,-0.008085195
633,0.738,0.6829999999999999,-0.008607688
634,0.738,0.6819999999999999,-0.009402145
635,0.738,0.6809999999999999,-0.009619025
636,0.738,0.6799999999999999,-0.009467504
637,0.738,0.6789999999999999,-0.008429458
638,0.738,0.6779999999999999,-0.008061825
639,0.738,0.677,-0.006475606
640,0.738,0.6759999999999999,-0.005663682
641,0.738,0.675,-0.005083536
642,0.738,0.6739999999999999,-0.004005553
643,0.738,0.673,-0.003424893
644,0.738,0.6719999999999999,-0.003432084
645,0.738,0.671,-0.00267114
646,0.738,0.6699999999999999,-0.002791972
647,0.738,0.669,-0.001966565
648,0.738,0.6679999999999999,-0.001363948
649,0.738,0.667,-0.001444717
650,0.738,0.6659999999999999,-0.000887554
651,0.738,0.665,-0.001343788
652,0.738,0.6639999999999999,-0.000709838
653,0.738,0.663,-0.000714717
654,0.738,0.6619999999999999,-0.000445446
655,0.738,0.661,-0.000539826
656,0.738,0.6599999999999999,-0.000356973
657,0.738,0.659,-0.00059517
658,0.738,0.6579999999999999,-0.000275948
659,0.738,0.657,-0.000265804
660,0.738,0.6559999999999999,-5.1363e-05
661,0.738,0.655,-0.000315498
662,0.738,0.6539999999999999,0.000118777
663,0.738,0.653,-3.4798e-05
664,0.738,0.6519999999999999,0.000157556
665,0.738,0.651,-0.000255018
666,0.738,0.6499999999999999,0.00020802
667,0.738,0.649,0.000110559
668,0.738,0.6479999999999999,4.9565e-05
669,0.738,0.647,0.000254632
670,0.738,0.6459999999999999,-0.000163206
671,0.738,0.645,-3.595e-06
672,0.738,0.644,-0.000271454
673,0.738,0.643,-7.8329e-05
674,0.738,0.642,-0.000408978
675,0.738,0.641,-0.000128793
676,0.738,0.64,-0.00052095
677,0.738,0.639,-0.000876511
678,0.738,0.638,-0.000883316
679,0.738,0.637,-0.001359326
680,0.738,0.636,-0.00226473
681,0.738,0.635,-0.002209772
682,0.738,0.634,-0.001662496
683,0.738,0.633,-0.000846335
684,0.738,0.632,-0.000299575
685,0.738,0.631,-0.000291229
686,0.738,0.63,3.724e-06
687,0.738,0.629,-2.9149e-05
688,0.738,0.628,0.000119162
689,0.738,0.627,9.7205e-05
690,0.738,0.626,0.000134058
691,0.738,0.625,-1.7849e-05
692,0.738,0.624,0.000160381
693,0.738,0.623,-0.000220604
694,0.737,0.853,-0.10318614
695,0.737,0.852,-0.10348019
696,0.737,0.851,-0.10283391
697,0.737,0.85,-0.1036773
698,0.737,0.849,-0.10394617
699,0.737,0.848,-0.10304604
700,0.737,0.847,-0.10370208
701,0.737,0.846,-0.10342125
702,0.737,0.845,-0.1031887
703,0.737,0.844,-0.10344732
704,0.737,0.843,-0.10297978
705,0.737,0.842,-0.1029107
706,0.737,0.841,-0.10248234
707,0.737,0.84,-0.10299584
708,0.737,0.839,-0.10289722
709,0.737,0.838,-0.10246796
710,0.737,0.837,-0.10135223
711,0.737,0.836,-0.10224081
712,0.737,0.835,-0.1019072
713,0.737,0.834,-0.10155448
714,0.737,0.833,-0.10188846
715,0.737,0.832,-0.10152584
716,0.737,0.831,-0.10158042
717,0.737,0.83,-0.10121869
718,0.737,0.829,-0.10106447
719,0.737,0.828,-0.10044479
720,0.737,0.827,-0.10037724
721,0.737,0.826,-0.1000308
722,0.737,0.825,-0.099926153
723,0.737,0.824,-0.10000679
724,0.737,0.823,-0.099396995
725,0.737,0.822,-0.099425244
726,0.737,0.821,-0.099917549
727,0.737,0.82,-0.099801597
728,0.737,0.819,-0.099960052
729,0.737,0.818,-0.099131961
730,0.737,0.817,-0.098832129
731,0.737,0.816,-0.099376064
732,0.737,0.815,-0.099534519
733,0.737,0.814,-0.099713124
734,0.737,0.813,-0.099527585
735,0.737,0.8119999999999999,-0.099115011
736,0.737,0.8109999999999999,-0.098814537
737,0.737,0.8099999999999999,-0.098878613
738,0.737,0.8089999999999999,-0.097887828
739,0.737,0.8079999999999999,-0.097105448
740,0.737,0.8069999999999999,-0.095951971
741,0.737,0.8059999999999999,-0.094904429
742,0.737,0.8049999999999999,-0.093900544
743,0.737,0.8039999999999999,-0.092895505
744,0.737,0.8029999999999999,-0.092715093
745,0.737,0.8019999999999999,-0.092368135
746,0.737,0.8009999999999999,-0.092370575
747,0.737,0.7999999999999999,-0.092789569
748,0.737,0.7989999999999999,-0.093732459
749,0.737,0.7979999999999999,-0.093930206
750,0.737,0.7969999999999999,-0.094291417
751,0.737,0.7959999999999999,-0.094170329
752,0.737,0.7949999999999999,-0.093706007
753,0.737,0.7939999999999999,-0.091633908
754,0.737,0.7929999999999999,-0.091776697
755,0.737,0.792,-0.09087477
756,0.737,0.7909999999999999,-0.090506625
757,0.737,0.79,-0.089864723
758,0.737,0.7889999999999999,-0.087856184
759,0.737,0.788,-0.087673204
760,0.737,0.7869999999999999,-0.086874773
761,0.737,0.786,-0.08642098
762,0.737,0.7849999999999999,-0.085787553
763,0.737,0.784,-0.086022274
764,0.737,0.7829999999999999,-0.085786269
765,0.737,0.782,-0.085824534
766,0.737,0.7809999999999999,-0.085848675
